Seat_ID,Party,Note
158,Liberal,"x=427, y=332.00015"
159,Liberal,"x=427, y=309.00015"
160,Liberal,"x=427, y=286.00015"
161,Liberal,"x=427, y=263.00015"
162,Liberal,"x=427, y=240.00027"
163,Liberal,"x=427, y=217.00029"
164,Liberal,"x=427, y=119.00008"
165,Liberal,"x=427, y=96.00008"
166,Liberal,"x=403, y=332.00015"
167,Liberal,"x=427, y=73.00008"
168,Liberal,"x=403, y=309.00015"
169,Liberal,"x=403, y=286.00015"
170,Liberal,"x=403, y=263.00015"
171,Liberal,"x=427, y=50.00007"
172,Liberal,"x=403, y=240.00027"
173,Liberal,"x=403, y=217.00029"
174,NDP,"x=427, y=27.0002"
175,NDP,"x=427, y=4.00021"
176,NDP,"x=370, y=332.00015"
177,NDP,"x=370, y=309.00015"
178,NDP,"x=403, y=119.00008"
179,Green Party,"x=370, y=286.00015"
180,Independent,"x=370, y=263.00015"
181,Independent,"x=403, y=96.00008"
182,Conservative,"x=370, y=240.00027"
183,Conservative,"x=346, y=332.00015"
184,Conservative,"x=370, y=217.00029"
185,Conservative,"x=403, y=73.00008"
186,Conservative,"x=346, y=309.00015"
187,Conservative,"x=346, y=286.00015"
188,Conservative,"x=346, y=263.00015"
189,Conservative,"x=403, y=50.00007"
190,Conservative,"x=346, y=240.00027"
191,Conservative,"x=313, y=332.00015"
192,Conservative,"x=346, y=217.00029"
193,Conservative,"x=313, y=309.00015"
194,Conservative,"x=403, y=27.0002"
195,Conservative,"x=313, y=286.00015"
196,Conservative,"x=370, y=119.00008"
197,Conservative,"x=289, y=332.00015"
198,Conservative,"x=313, y=263.00015"
199,Conservative,"x=289, y=309.00015"
200,Conservative,"x=370, y=96.00008"
201,Conservative,"x=313, y=240.00026"
202,Conservative,"x=289, y=286.00015"
203,Conservative,"x=403, y=4.00021"
204,Conservative,"x=313, y=217.00026"
205,Conservative,"x=289, y=263.00015"
206,Conservative,"x=370, y=73.00008"
207,Conservative,"x=256, y=332.00015"
208,Conservative,"x=346, y=119.00008"
209,Conservative,"x=289, y=240.00026"
210,Conservative,"x=256, y=309.00015"
211,Conservative,"x=256, y=286.00015"
212,Conservative,"x=289, y=217.00026"
213,Conservative,"x=232, y=332.00015"
214,Conservative,"x=370, y=50.00007"
215,Conservative,"x=346, y=96.00008"
216,Conservative,"x=232, y=309.00015"
217,Conservative,"x=256, y=263.00015"
218,Conservative,"x=232, y=286.00015"
219,Conservative,"x=256, y=240.00026"
220,Conservative,"x=199, y=332.00015"
221,Conservative,"x=346, y=73.00008"
222,Conservative,"x=232, y=263.00015"
223,Conservative,"x=370, y=27.0002"
224,Conservative,"x=256, y=217.00026"
225,Conservative,"x=199, y=309.00015"
226,Conservative,"x=313, y=119.00008"
227,Conservative,"x=175, y=332.00006"
228,Conservative,"x=232, y=240.00026"
229,Conservative,"x=199, y=286.00015"
230,Conservative,"x=175, y=309.00006"
231,Conservative,"x=346, y=50.00007"
232,Conservative,"x=232, y=217.00026"
233,Conservative,"x=313, y=96.00008"
234,Conservative,"x=199, y=263.00015"
235,Conservative,"x=175, y=286.00006"
236,Conservative,"x=142, y=332.00015"
237,Conservative,"x=289, y=119.00008"
238,Conservative,"x=199, y=240.00026"
239,Conservative,"x=370, y=4.00021"
240,Conservative,"x=142, y=309.00015"
241,Conservative,"x=175, y=263.00006"
242,Conservative,"x=118, y=332.00015"
243,Conservative,"x=313, y=73.00008"
244,Conservative,"x=199, y=217.00026"
245,Conservative,"x=142, y=286.00015"
246,Conservative,"x=346, y=27.0002"
247,Conservative,"x=175, y=240.00015"
248,Conservative,"x=118, y=309.00015"
249,Conservative,"x=289, y=96.00008"
250,Conservative,"x=85, y=332.00015"
251,Conservative,"x=142, y=263.00015"
252,Conservative,"x=118, y=286.00015"
253,Conservative,"x=175, y=217.00015"
254,Conservative,"x=256, y=119.00008"
255,Conservative,"x=85, y=309.00015"
256,Conservative,"x=313, y=50.00007"
257,Conservative,"x=61, y=332.00015"
258,Conservative,"x=141.91214, y=240.05026"
259,Conservative,"x=118, y=263.00015"
260,Conservative,"x=289, y=73.00008"
261,Conservative,"x=85, y=286.00015"
262,Conservative,"x=61, y=309.00015"
263,Conservative,"x=142, y=217.00026"
264,Conservative,"x=118, y=240.00026"
265,Conservative,"x=28, y=332.00015"
266,Conservative,"x=346, y=4.00021"
267,Conservative,"x=256, y=96.00008"
268,Conservative,"x=232, y=119.00008"
269,Conservative,"x=85, y=263.00015"
270,Conservative,"x=61, y=286.00015"
271,Conservative,"x=28, y=309.00015"
272,Conservative,"x=4, y=332.00015"
273,Conservative,"x=118, y=217.00026"
274,Conservative,"x=289, y=50.00007"
275,Conservative,"x=313, y=27.00018"
276,Conservative,"x=61, y=263.00015"
277,Conservative,"x=85, y=240.00023"
278,Conservative,"x=4, y=309.00015"
279,Conservative,"x=28, y=286.00015"
280,Conservative,"x=232, y=96.00008"
281,Conservative,"x=256, y=73.00008"
282,Conservative,"x=199, y=119.00008"
283,Conservative,"x=61, y=240.00023"
284,Conservative,"x=85, y=217.00023"
285,Conservative,"x=4, y=286.00015"
286,Conservative,"x=28, y=263.00015"
287,Conservative,"x=61, y=217.00023"
288,Conservative,"x=4, y=263.00015"
289,Conservative,"x=28, y=240.0002"
290,Conservative,"x=175, y=119.00008"
291,Conservative,"x=232, y=73.00008"
292,Conservative,"x=289, y=27.00015"
293,Conservative,"x=199, y=96.00008"
294,Conservative,"x=256.03165, y=50.04163"
295,Conservative,"x=313, y=4.00018"
296,Conservative,"x=4, y=240.00017"
297,Conservative,"x=175, y=96.00008"
298,Conservative,"x=142, y=119.00008"
299,Conservative,"x=199, y=73.00008"
300,Conservative,"x=231.9561, y=50.08676"
301,Conservative,"x=118, y=119.00008"
302,Conservative,"x=256, y=27.00018"
303,Conservative,"x=289, y=4.00018"
304,Conservative,"x=142, y=96.00008"
305,Conservative,"x=175, y=73.00008"
306,Conservative,"x=85, y=119.00008"
307,Conservative,"x=199, y=50.00007"
308,Conservative,"x=118, y=96.00008"
309,Conservative,"x=232, y=27.00018"
310,Conservative,"x=61, y=119.00008"
311,Conservative,"x=142, y=73.00008"
312,Conservative,"x=175, y=50.00007"
313,Conservative,"x=85, y=96.00008"
314,Conservative,"x=256, y=4.00018"
315,Conservative,"x=118, y=73.00008"
316,Conservative,"x=199, y=27.00018"
317,Conservative,"x=61, y=96.00008"
318,Conservative,"x=142, y=50.00007"
319,Conservative,"x=232, y=4.00018"
320,Conservative,"x=85, y=73.00008"
321,Conservative,"x=28, y=96.00009"
322,Bloc Qu&#xE9;b&#xE9;cois,"x=175, y=27.00018"
323,Bloc Qu&#xE9;b&#xE9;cois,"x=118, y=50.00007"
324,Bloc Qu&#xE9;b&#xE9;cois,"x=61, y=73.00015"
325,Bloc Qu&#xE9;b&#xE9;cois,"x=4, y=96.00009"
326,Bloc Qu&#xE9;b&#xE9;cois,"x=199, y=4.00018"
327,Bloc Qu&#xE9;b&#xE9;cois,"x=142, y=27.00018"
328,Bloc Qu&#xE9;b&#xE9;cois,"x=85.07574, y=49.84893"
329,Bloc Qu&#xE9;b&#xE9;cois,"x=28, y=73.00009"
330,Bloc Qu&#xE9;b&#xE9;cois,"x=4, y=73.00009"
331,Bloc Qu&#xE9;b&#xE9;cois,"x=61.07574, y=49.84901"
332,Bloc Qu&#xE9;b&#xE9;cois,"x=118, y=27.00018"
333,Bloc Qu&#xE9;b&#xE9;cois,"x=175, y=4.00018"
334,Bloc Qu&#xE9;b&#xE9;cois,"x=28.07573, y=49.84895"
335,Bloc Qu&#xE9;b&#xE9;cois,"x=85, y=27.00015"
336,Bloc Qu&#xE9;b&#xE9;cois,"x=4.07574, y=49.84895"
337,Bloc Qu&#xE9;b&#xE9;cois,"x=142, y=4.00018"
338,Bloc Qu&#xE9;b&#xE9;cois,"x=61.07574, y=27.26795"
339,Bloc Qu&#xE9;b&#xE9;cois,"x=118, y=4.00018"
340,Bloc Qu&#xE9;b&#xE9;cois,"x=28.07573, y=27.26789"
341,Bloc Qu&#xE9;b&#xE9;cois,"x=4, y=27.00015"
342,Bloc Qu&#xE9;b&#xE9;cois,"x=85, y=4.00015"
343,Independent,"x=61, y=4.00015"
344,Independent,"x=28, y=4.0002"
345,Independent,"x=4, y=4.00017"
